model,prompt,threshold,overallPrecision,overallRecall,overallF1,overallFPR,overallYoudenJ,TP,TN,FP,FN
deepseek-r1_32b,ObfuscationDetectionV1,0.4,0.91,1.0,0.95,1.0,0.0,88,0,9,0
deepseek-r1_32b,ObfuscationDetectionV1,0.5,0.91,1.0,0.95,1.0,0.0,88,0,9,0
deepseek-r1_32b,ObfuscationDetectionV1,0.6,0.92,0.91,0.91,0.78,0.13,80,2,7,8
deepseek-r1_32b,ObfuscationDetectionV1,0.7,0.94,0.51,0.66,0.33,0.18,45,6,3,43
deepseek-r1_32b,ObfuscationDetectionV1,0.8,1.0,0.2,0.34,0.0,0.2,18,9,0,70
deepseek-r1_32b,ObfuscationDetectionV1,0.9,NaN,0.0,NaN,0.0,0.0,0,9,0,88
deepseek-r1_32b,ObfuscationDetectionV2,0.1,0.91,1.0,0.95,1.0,0.0,90,0,9,0
deepseek-r1_32b,ObfuscationDetectionV2,0.2,0.91,1.0,0.95,1.0,0.0,90,0,9,0
deepseek-r1_32b,ObfuscationDetectionV2,0.3,0.91,1.0,0.95,1.0,0.0,90,0,9,0
deepseek-r1_32b,ObfuscationDetectionV2,0.4,0.91,1.0,0.95,1.0,0.0,90,0,9,0
deepseek-r1_32b,ObfuscationDetectionV2,0.5,0.91,1.0,0.95,1.0,0.0,90,0,9,0
deepseek-r1_32b,ObfuscationDetectionV2,0.6,0.92,0.94,0.93,0.78,0.17,85,2,7,5
deepseek-r1_32b,ObfuscationDetectionV2,0.7,0.93,0.47,0.62,0.33,0.13,42,6,3,48
deepseek-r1_32b,ObfuscationDetectionV2,0.8,1.0,0.13,0.24,0.0,0.13,12,9,0,78
deepseek-r1_32b,ObfuscationDetectionV2,0.9,NaN,0.0,NaN,0.0,0.0,0,9,0,90
deepseek-r1_32b,ObfuscationDetectionV3,0.1,0.91,1.0,0.95,1.0,0.0,90,0,9,0
deepseek-r1_32b,ObfuscationDetectionV3,0.2,0.91,1.0,0.95,1.0,0.0,90,0,9,0
deepseek-r1_32b,ObfuscationDetectionV3,0.3,0.91,1.0,0.95,1.0,0.0,90,0,9,0
deepseek-r1_32b,ObfuscationDetectionV3,0.4,0.91,1.0,0.95,1.0,0.0,90,0,9,0
deepseek-r1_32b,ObfuscationDetectionV3,0.5,0.91,1.0,0.95,1.0,0.0,90,0,9,0
