model,prompt,threshold,overallPrecision,overallRecall,overallF1,overallFPR,overallYoudenJ,TP,TN,FP,FN,TP_ArithmeticBranch,FN_ArithmeticBranch,Recall_ArithmeticBranch,TP_CallIndirection,FN_CallIndirection,Recall_CallIndirection,TP_ClassRename,FN_ClassRename,Recall_ClassRename,TP_ConstStringEncryption,FN_ConstStringEncryption,Recall_ConstStringEncryption,TP_FieldRename,FN_FieldRename,Recall_FieldRename,TP_Goto,FN_Goto,Recall_Goto,TP_MethodOverload,FN_MethodOverload,Recall_MethodOverload,TP_MethodRename,FN_MethodRename,Recall_MethodRename,TP_Reflection,FN_Reflection,Recall_Reflection
gemma3_27b,ObfuscationDetectionV2,0.5,0.98,0.5,0.66,0.11,0.39,45,8,1,45,4,7,0.36,7,3,0.7,10,0,1.0,9,1,0.9,4,6,0.4,3,7,0.3,2,8,0.2,2,8,0.2,4,5,0.44
gemma3_27b,ObfuscationDetectionV2,0.6,0.97,0.36,0.52,0.11,0.24,32,8,1,58,2,9,0.18,5,5,0.5,10,0,1.0,7,3,0.7,2,8,0.2,1,9,0.1,1,9,0.1,2,8,0.2,2,7,0.22
gemma3_27b,ObfuscationDetectionV2,0.7,1.0,0.23,0.38,0.0,0.23,21,9,0,69,1,10,0.09,2,8,0.2,10,0,1.0,3,7,0.3,1,9,0.1,1,9,0.1,1,9,0.1,1,9,0.1,1,8,0.11
gemma3_27b,ObfuscationDetectionV2,0.8,1.0,0.13,0.24,0.0,0.13,12,9,0,78,1,10,0.09,0,10,0.0,9,1,0.9,2,8,0.2,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,9,0.0
gemma3_27b,ObfuscationDetectionV2,0.9,1.0,0.06,0.11,0.0,0.06,5,9,0,85,0,11,0.0,0,10,0.0,5,5,0.5,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,9,0.0
gemma3_27b,ObfuscationDetectionV3,0.1,0.91,1.0,0.95,1.0,0.0,90,0,9,0,11,0,1.0,10,0,1.0,10,0,1.0,10,0,1.0,10,0,1.0,10,0,1.0,10,0,1.0,10,0,1.0,9,0,1.0
gemma3_27b,ObfuscationDetectionV3,0.2,0.91,0.98,0.94,1.0,-0.02,88,0,9,2,11,0,1.0,10,0,1.0,10,0,1.0,10,0,1.0,9,1,0.9,10,0,1.0,9,1,0.9,10,0,1.0,9,0,1.0
gemma3_27b,ObfuscationDetectionV3,0.3,0.93,0.93,0.93,0.67,0.27,84,3,6,6,11,0,1.0,8,2,0.8,10,0,1.0,10,0,1.0,9,1,0.9,10,0,1.0,8,2,0.8,9,1,0.9,9,0,1.0
gemma3_27b,ObfuscationDetectionV3,0.4,0.94,0.73,0.82,0.44,0.29,66,5,4,24,10,1,0.91,7,3,0.7,10,0,1.0,10,0,1.0,7,3,0.7,10,0,1.0,2,8,0.2,3,7,0.3,7,2,0.78
gemma3_27b,ObfuscationDetectionV3,0.5,0.98,0.59,0.74,0.11,0.48,53,8,1,37,8,3,0.73,6,4,0.6,10,0,1.0,9,1,0.9,3,7,0.3,9,1,0.9,1,9,0.1,2,8,0.2,5,4,0.56
gemma3_27b,ObfuscationDetectionV3,0.6,0.98,0.43,0.6,0.11,0.32,39,8,1,51,6,5,0.55,3,7,0.3,10,0,1.0,7,3,0.7,1,9,0.1,7,3,0.7,1,9,0.1,2,8,0.2,2,7,0.22
gemma3_27b,ObfuscationDetectionV3,0.7,1.0,0.26,0.41,0.0,0.26,23,9,0,67,2,9,0.18,2,8,0.2,6,4,0.6,6,4,0.6,1,9,0.1,3,7,0.3,1,9,0.1,1,9,0.1,1,8,0.11
gemma3_27b,ObfuscationDetectionV3,0.8,1.0,0.12,0.22,0.0,0.12,11,9,0,79,2,9,0.18,1,9,0.1,1,9,0.1,2,8,0.2,1,9,0.1,1,9,0.1,1,9,0.1,1,9,0.1,1,8,0.11
gemma3_27b,ObfuscationDetectionV3,0.9,NaN,0.0,NaN,0.0,0.0,0,9,0,90,0,11,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,9,0.0
qwen3_30b,ObfuscationDetectionV1,0.1,0.91,1.0,0.95,1.0,0.0,90,0,9,0,11,0,1.0,10,0,1.0,10,0,1.0,10,0,1.0,10,0,1.0,10,0,1.0,10,0,1.0,10,0,1.0,9,0,1.0
qwen3_30b,ObfuscationDetectionV1,0.2,0.9,0.84,0.87,0.89,-0.04,76,1,8,14,9,2,0.82,10,0,1.0,9,1,0.9,10,0,1.0,8,2,0.8,8,2,0.8,7,3,0.7,8,2,0.8,7,2,0.78
qwen3_30b,ObfuscationDetectionV1,0.3,0.89,0.19,0.31,0.22,-0.03,17,7,2,73,3,8,0.27,3,7,0.3,2,8,0.2,2,8,0.2,1,9,0.1,1,9,0.1,2,8,0.2,1,9,0.1,2,7,0.22
qwen3_30b,ObfuscationDetectionV1,0.4,1.0,0.01,0.02,0.0,0.01,1,9,0,89,1,10,0.09,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,9,0.0
qwen3_30b,ObfuscationDetectionV1,0.5,NaN,0.0,NaN,0.0,0.0,0,9,0,90,0,11,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,9,0.0
qwen3_30b,ObfuscationDetectionV1,0.6,NaN,0.0,NaN,0.0,0.0,0,9,0,90,0,11,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,9,0.0
qwen3_30b,ObfuscationDetectionV1,0.7,NaN,0.0,NaN,0.0,0.0,0,9,0,90,0,11,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,9,0.0
qwen3_30b,ObfuscationDetectionV1,0.8,NaN,0.0,NaN,0.0,0.0,0,9,0,90,0,11,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,9,0.0
qwen3_30b,ObfuscationDetectionV1,0.9,NaN,0.0,NaN,0.0,0.0,0,9,0,90,0,11,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,9,0.0
qwen3_30b,ObfuscationDetectionV2,0.1,0.91,0.99,0.95,1.0,-0.01,89,0,9,1,11,0,1.0,10,0,1.0,10,0,1.0,9,1,0.9,10,0,1.0,10,0,1.0,10,0,1.0,10,0,1.0,9,0,1.0
qwen3_30b,ObfuscationDetectionV2,0.2,0.93,0.44,0.6,0.33,0.11,40,6,3,50,4,7,0.36,8,2,0.8,7,3,0.7,3,7,0.3,5,5,0.5,2,8,0.2,2,8,0.2,5,5,0.5,4,5,0.44
qwen3_30b,ObfuscationDetectionV2,0.3,0.0,0.0,NaN,0.11,-0.11,0,8,1,90,0,11,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,9,0.0
qwen3_30b,ObfuscationDetectionV2,0.4,NaN,0.0,NaN,0.0,0.0,0,9,0,90,0,11,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,9,0.0
qwen3_30b,ObfuscationDetectionV2,0.5,NaN,0.0,NaN,0.0,0.0,0,9,0,90,0,11,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,9,0.0
qwen3_30b,ObfuscationDetectionV2,0.6,NaN,0.0,NaN,0.0,0.0,0,9,0,90,0,11,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,9,0.0
qwen3_30b,ObfuscationDetectionV2,0.7,NaN,0.0,NaN,0.0,0.0,0,9,0,90,0,11,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,9,0.0
qwen3_30b,ObfuscationDetectionV2,0.8,NaN,0.0,NaN,0.0,0.0,0,9,0,90,0,11,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,9,0.0
qwen3_30b,ObfuscationDetectionV2,0.9,NaN,0.0,NaN,0.0,0.0,0,9,0,90,0,11,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,9,0.0
qwen3_30b,ObfuscationDetectionV3,0.1,0.91,1.0,0.95,1.0,0.0,90,0,9,0,11,0,1.0,10,0,1.0,10,0,1.0,10,0,1.0,10,0,1.0,10,0,1.0,10,0,1.0,10,0,1.0,9,0,1.0
qwen3_30b,ObfuscationDetectionV3,0.2,0.9,0.77,0.83,0.89,-0.12,69,1,8,21,7,4,0.64,8,2,0.8,9,1,0.9,9,1,0.9,6,4,0.6,5,5,0.5,8,2,0.8,9,1,0.9,8,1,0.89
qwen3_30b,ObfuscationDetectionV3,0.3,1.0,0.04,0.09,0.0,0.04,4,9,0,86,0,11,0.0,0,10,0.0,0,10,0.0,2,8,0.2,0,10,0.0,2,8,0.2,0,10,0.0,0,10,0.0,0,9,0.0
qwen3_30b,ObfuscationDetectionV3,0.4,NaN,0.0,NaN,0.0,0.0,0,9,0,90,0,11,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,9,0.0
qwen3_30b,ObfuscationDetectionV3,0.5,NaN,0.0,NaN,0.0,0.0,0,9,0,90,0,11,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,9,0.0
qwen3_30b,ObfuscationDetectionV3,0.6,NaN,0.0,NaN,0.0,0.0,0,9,0,90,0,11,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,9,0.0
qwen3_30b,ObfuscationDetectionV3,0.7,NaN,0.0,NaN,0.0,0.0,0,9,0,90,0,11,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,9,0.0
qwen3_30b,ObfuscationDetectionV3,0.8,NaN,0.0,NaN,0.0,0.0,0,9,0,90,0,11,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,9,0.0
qwen3_30b,ObfuscationDetectionV3,0.9,NaN,0.0,NaN,0.0,0.0,0,9,0,90,0,11,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,9,0.0
gpt-oss_20b,ObfuscationDetectionV1,0.1,1.0,0.54,0.7,0.0,0.54,43,7,0,37,0,9,0.0,5,3,0.62,9,0,1.0,9,1,0.9,10,0,1.0,0,8,0.0,0,8,0.0,10,0,1.0,0,8,0.0
gpt-oss_20b,ObfuscationDetectionV1,0.2,1.0,0.49,0.66,0.0,0.49,39,7,0,41,0,9,0.0,5,3,0.62,9,0,1.0,7,3,0.7,9,1,0.9,0,8,0.0,0,8,0.0,9,1,0.9,0,8,0.0
gpt-oss_20b,ObfuscationDetectionV1,0.3,1.0,0.36,0.53,0.0,0.36,29,7,0,51,0,9,0.0,3,5,0.38,9,0,1.0,1,9,0.1,9,1,0.9,0,8,0.0,0,8,0.0,7,3,0.7,0,8,0.0
gpt-oss_20b,ObfuscationDetectionV1,0.4,1.0,0.34,0.5,0.0,0.34,27,7,0,53,0,9,0.0,3,5,0.38,9,0,1.0,1,9,0.1,7,3,0.7,0,8,0.0,0,8,0.0,7,3,0.7,0,8,0.0
gpt-oss_20b,ObfuscationDetectionV1,0.5,1.0,0.2,0.33,0.0,0.2,16,7,0,64,0,9,0.0,2,6,0.25,9,0,1.0,0,10,0.0,3,7,0.3,0,8,0.0,0,8,0.0,2,8,0.2,0,8,0.0
gpt-oss_20b,ObfuscationDetectionV1,0.6,1.0,0.16,0.28,0.0,0.16,13,7,0,67,0,9,0.0,2,6,0.25,9,0,1.0,0,10,0.0,1,9,0.1,0,8,0.0,0,8,0.0,1,9,0.1,0,8,0.0
gpt-oss_20b,ObfuscationDetectionV1,0.7,1.0,0.12,0.22,0.0,0.12,10,7,0,70,0,9,0.0,1,7,0.12,9,0,1.0,0,10,0.0,0,10,0.0,0,8,0.0,0,8,0.0,0,10,0.0,0,8,0.0
gpt-oss_20b,ObfuscationDetectionV1,0.8,1.0,0.11,0.2,0.0,0.11,9,7,0,71,0,9,0.0,0,8,0.0,9,0,1.0,0,10,0.0,0,10,0.0,0,8,0.0,0,8,0.0,0,10,0.0,0,8,0.0
gpt-oss_20b,ObfuscationDetectionV1,0.9,1.0,0.11,0.2,0.0,0.11,9,7,0,71,0,9,0.0,0,8,0.0,9,0,1.0,0,10,0.0,0,10,0.0,0,8,0.0,0,8,0.0,0,10,0.0,0,8,0.0
gpt-oss_20b,ObfuscationDetectionV2,0.1,1.0,0.54,0.7,0.0,0.54,46,9,0,39,0,10,0.0,6,3,0.67,10,0,1.0,10,0,1.0,10,0,1.0,0,8,0.0,0,9,0.0,10,0,1.0,0,9,0.0
gpt-oss_20b,ObfuscationDetectionV2,0.2,1.0,0.49,0.66,0.0,0.49,42,9,0,43,0,10,0.0,4,5,0.44,10,0,1.0,10,0,1.0,9,1,0.9,0,8,0.0,0,9,0.0,9,1,0.9,0,9,0.0
gpt-oss_20b,ObfuscationDetectionV2,0.3,1.0,0.46,0.63,0.0,0.46,39,9,0,46,0,10,0.0,4,5,0.44,10,0,1.0,9,1,0.9,9,1,0.9,0,8,0.0,0,9,0.0,7,3,0.7,0,9,0.0
gpt-oss_20b,ObfuscationDetectionV2,0.4,1.0,0.41,0.58,0.0,0.41,35,9,0,50,0,10,0.0,3,6,0.33,10,0,1.0,7,3,0.7,8,2,0.8,0,8,0.0,0,9,0.0,7,3,0.7,0,9,0.0
gpt-oss_20b,ObfuscationDetectionV2,0.5,1.0,0.28,0.44,0.0,0.28,24,9,0,61,0,10,0.0,2,7,0.22,10,0,1.0,4,6,0.4,5,5,0.5,0,8,0.0,0,9,0.0,3,7,0.3,0,9,0.0
gpt-oss_20b,ObfuscationDetectionV2,0.6,1.0,0.2,0.33,0.0,0.2,17,9,0,68,0,10,0.0,2,7,0.22,10,0,1.0,1,9,0.1,2,8,0.2,0,8,0.0,0,9,0.0,2,8,0.2,0,9,0.0
gpt-oss_20b,ObfuscationDetectionV2,0.7,1.0,0.14,0.25,0.0,0.14,12,9,0,73,0,10,0.0,2,7,0.22,10,0,1.0,0,10,0.0,0,10,0.0,0,8,0.0,0,9,0.0,0,10,0.0,0,9,0.0
gpt-oss_20b,ObfuscationDetectionV2,0.8,1.0,0.12,0.21,0.0,0.12,10,9,0,75,0,10,0.0,0,9,0.0,10,0,1.0,0,10,0.0,0,10,0.0,0,8,0.0,0,9,0.0,0,10,0.0,0,9,0.0
gpt-oss_20b,ObfuscationDetectionV2,0.9,1.0,0.12,0.21,0.0,0.12,10,9,0,75,0,10,0.0,0,9,0.0,10,0,1.0,0,10,0.0,0,10,0.0,0,8,0.0,0,9,0.0,0,10,0.0,0,9,0.0
gpt-oss_20b,ObfuscationDetectionV3,0.1,1.0,0.86,0.92,0.0,0.86,74,9,0,12,8,2,0.8,8,1,0.89,10,0,1.0,10,0,1.0,10,0,1.0,8,2,0.8,6,2,0.75,10,0,1.0,4,5,0.44
gpt-oss_20b,ObfuscationDetectionV3,0.2,1.0,0.83,0.9,0.0,0.83,71,9,0,15,8,2,0.8,7,2,0.78,10,0,1.0,10,0,1.0,9,1,0.9,8,2,0.8,6,2,0.75,9,1,0.9,4,5,0.44
gpt-oss_20b,ObfuscationDetectionV3,0.3,1.0,0.77,0.87,0.0,0.77,66,9,0,20,7,3,0.7,6,3,0.67,10,0,1.0,10,0,1.0,9,1,0.9,8,2,0.8,5,3,0.62,8,2,0.8,3,6,0.33
gpt-oss_20b,ObfuscationDetectionV3,0.4,1.0,0.69,0.81,0.0,0.69,59,9,0,27,7,3,0.7,5,4,0.56,10,0,1.0,10,0,1.0,8,2,0.8,7,3,0.7,3,5,0.38,7,3,0.7,2,7,0.22
gpt-oss_20b,ObfuscationDetectionV3,0.5,1.0,0.58,0.74,0.0,0.58,50,9,0,36,7,3,0.7,4,5,0.44,10,0,1.0,9,1,0.9,7,3,0.7,5,5,0.5,2,6,0.25,4,6,0.4,2,7,0.22
gpt-oss_20b,ObfuscationDetectionV3,0.6,1.0,0.43,0.6,0.0,0.43,37,9,0,49,6,4,0.6,3,6,0.33,10,0,1.0,7,3,0.7,4,6,0.4,4,6,0.4,0,8,0.0,2,8,0.2,1,8,0.11
gpt-oss_20b,ObfuscationDetectionV3,0.7,1.0,0.3,0.46,0.0,0.3,26,9,0,60,3,7,0.3,2,7,0.22,10,0,1.0,7,3,0.7,1,9,0.1,2,8,0.2,0,8,0.0,0,10,0.0,1,8,0.11
gpt-oss_20b,ObfuscationDetectionV3,0.8,1.0,0.19,0.31,0.0,0.19,16,9,0,70,1,9,0.1,2,7,0.22,10,0,1.0,3,7,0.3,0,10,0.0,0,10,0.0,0,8,0.0,0,10,0.0,0,9,0.0
gpt-oss_20b,ObfuscationDetectionV3,0.9,1.0,0.13,0.23,0.0,0.13,11,9,0,75,0,10,0.0,0,9,0.0,10,0,1.0,1,9,0.1,0,10,0.0,0,10,0.0,0,8,0.0,0,10,0.0,0,9,0.0
