model,prompt,threshold,overallPrecision,overallRecall,overallF1,overallFPR,overallYoudenJ,TP,TN,FP,FN,TP_ArithmeticBranch,FN_ArithmeticBranch,Recall_ArithmeticBranch,TP_CallIndirection,FN_CallIndirection,Recall_CallIndirection,TP_ClassRename,FN_ClassRename,Recall_ClassRename,TP_ConstStringEncryption,FN_ConstStringEncryption,Recall_ConstStringEncryption,TP_FieldRename,FN_FieldRename,Recall_FieldRename,TP_Goto,FN_Goto,Recall_Goto,TP_MethodOverload,FN_MethodOverload,Recall_MethodOverload,TP_MethodRename,FN_MethodRename,Recall_MethodRename,TP_Reflection,FN_Reflection,Recall_Reflection
gpt-4o-mini,ObfuscationDetectionV3,0.5,1.0,0.41,0.58,0.0,0.41,37,7,0,53,4,7,0.36,3,7,0.3,10,0,1.0,9,1,0.9,0,10,0.0,8,2,0.8,1,9,0.1,1,9,0.1,1,8,0.11
gpt-4o-mini,ObfuscationDetectionV3,0.6,1.0,0.32,0.49,0.0,0.32,29,7,0,61,4,7,0.36,0,10,0.0,10,0,1.0,6,4,0.6,0,10,0.0,7,3,0.7,1,9,0.1,0,10,0.0,1,8,0.11
gpt-4o-mini,ObfuscationDetectionV3,0.7,1.0,0.27,0.42,0.0,0.27,24,7,0,66,2,9,0.18,0,10,0.0,10,0,1.0,6,4,0.6,0,10,0.0,5,5,0.5,1,9,0.1,0,10,0.0,0,9,0.0
gpt-4o-mini,ObfuscationDetectionV3,0.8,1.0,0.21,0.35,0.0,0.21,19,7,0,71,1,10,0.09,0,10,0.0,10,0,1.0,3,7,0.3,0,10,0.0,4,6,0.4,1,9,0.1,0,10,0.0,0,9,0.0
gpt-4o-mini,ObfuscationDetectionV3,0.9,1.0,0.1,0.18,0.0,0.1,9,7,0,81,1,10,0.09,0,10,0.0,5,5,0.5,1,9,0.1,0,10,0.0,2,8,0.2,0,10,0.0,0,10,0.0,0,9,0.0
gpt-5-mini,ObfuscationDetectionV1,0.1,1.0,0.79,0.88,0.0,0.79,71,9,0,19,9,2,0.82,9,1,0.9,10,0,1.0,10,0,1.0,10,0,1.0,2,8,0.2,7,3,0.7,10,0,1.0,4,5,0.44
gpt-5-mini,ObfuscationDetectionV1,0.2,1.0,0.71,0.83,0.0,0.71,64,9,0,26,8,3,0.73,9,1,0.9,10,0,1.0,10,0,1.0,9,1,0.9,0,10,0.0,6,4,0.6,9,1,0.9,3,6,0.33
gpt-5-mini,ObfuscationDetectionV1,0.3,1.0,0.68,0.81,0.0,0.68,61,9,0,29,7,4,0.64,9,1,0.9,10,0,1.0,10,0,1.0,9,1,0.9,0,10,0.0,4,6,0.4,9,1,0.9,3,6,0.33
gpt-5-mini,ObfuscationDetectionV1,0.4,1.0,0.57,0.72,0.0,0.57,51,9,0,39,5,6,0.45,8,2,0.8,10,0,1.0,9,1,0.9,7,3,0.7,0,10,0.0,2,8,0.2,8,2,0.8,2,7,0.22
gpt-5-mini,ObfuscationDetectionV1,0.5,1.0,0.51,0.68,0.0,0.51,46,9,0,44,4,7,0.36,7,3,0.7,10,0,1.0,9,1,0.9,7,3,0.7,0,10,0.0,0,10,0.0,7,3,0.7,2,7,0.22
