Tool,overallPrecision,overallRecall,overallF1,overallAccuracy,overallFPR,TP_total,TN_total,FP_total,FN_total,TP_ArithmeticBranch,FN_ArithmeticBranch,FP_ArithmeticBranch,TN_ArithmeticBranch,Recall_ArithmeticBranch,FPR_ArithmeticBranch,TP_CallIndirection,FN_CallIndirection,FP_CallIndirection,TN_CallIndirection,Recall_CallIndirection,FPR_CallIndirection,TP_ClassRename,FN_ClassRename,FP_ClassRename,TN_ClassRename,Recall_ClassRename,FPR_ClassRename,TP_ConstStringEncryption,FN_ConstStringEncryption,FP_ConstStringEncryption,TN_ConstStringEncryption,Recall_ConstStringEncryption,FPR_ConstStringEncryption,TP_FieldRename,FN_FieldRename,FP_FieldRename,TN_FieldRename,Recall_FieldRename,FPR_FieldRename,TP_Goto,FN_Goto,FP_Goto,TN_Goto,Recall_Goto,FPR_Goto,TP_MethodOverload,FN_MethodOverload,FP_MethodOverload,TN_MethodOverload,Recall_MethodOverload,FPR_MethodOverload,TP_MethodRename,FN_MethodRename,FP_MethodRename,TN_MethodRename,Recall_MethodRename,FPR_MethodRename,TP_Reflection,FN_Reflection,FP_Reflection,TN_Reflection,Recall_Reflection,FPR_Reflection,TP_R8,FN_R8,FP_R8,TN_R8,Recall_R8,FPR_R8,TP_NoObfusc,FN_NoObfusc,FP_NoObfusc,TN_NoObfusc,Recall_NoObfusc,FPR_NoObfusc,Precision_ArithmeticBranch,F1_ArithmeticBranch,Accuracy_ArithmeticBranch,Precision_CallIndirection,F1_CallIndirection,Accuracy_CallIndirection,Precision_ClassRename,F1_ClassRename,Accuracy_ClassRename,Precision_ConstStringEncryption,F1_ConstStringEncryption,Accuracy_ConstStringEncryption,Precision_FieldRename,F1_FieldRename,Accuracy_FieldRename,Precision_Goto,F1_Goto,Accuracy_Goto,Precision_MethodOverload,F1_MethodOverload,Accuracy_MethodOverload,Precision_MethodRename,F1_MethodRename,Accuracy_MethodRename,Precision_Reflection,F1_Reflection,Precision_R8,F1_R8,Accuracy_R8,Precision_NoObfusc,F1_NoObfusc,Accuracy_NoObfusc
SEBASTiAN,,0.00,,,0.00,0,10,0,100,0,10,0,0,0.000000,0.000000,0,10,0,0,0.000000,0.000000,0,10,0,0,0.000000,0.000000,0,10,0,0,0.000000,0.000000,0,10,0,0,0.000000,0.000000,0,10,0,0,0.000000,0.000000,0,10,0,0,0.000000,0.000000,0,10,0,0,0.000000,0.000000,0,10,0,0,0.000000,0.000000,0,10,0,0,0.000000,0.000000,0,0,0,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
APKHunt,,0.00,,,0.00,0,10,0,100,0,10,0,0,0.000000,0.000000,0,10,0,0,0.000000,0.000000,0,10,0,0,0.000000,0.000000,0,10,0,0,0.000000,0.000000,0,10,0,0,0.000000,0.000000,0,10,0,0,0.000000,0.000000,0,10,0,0,0.000000,0.000000,0,10,0,0,0.000000,0.000000,0,10,0,0,0.000000,0.000000,0,10,0,0,0.000000,0.000000,0,0,0,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
Trueseeing,,0.04,,,0.81,3,7,30,70,0,7,3,0,0.000000,1.000000,0,7,3,0,0.000000,1.000000,0,7,3,0,0.000000,1.000000,0,7,3,0,0.000000,1.000000,0,7,3,0,0.000000,1.000000,0,7,3,0,0.000000,1.000000,0,7,3,0,0.000000,1.000000,0,7,3,0,0.000000,1.000000,0,7,3,0,0.000000,1.000000,3,7,0,0,0.300000,0.000000,0,0,3,7,0.000000,0.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.461538,0.300000,0.000000,0.000000,0.700000
