model,prompt,totalApps,bestAt1Correct,bestAt3Correct,bestAt5Correct,bestAt1Accuracy,bestAt3Accuracy,bestAt5Accuracy,BestAt1_ArithmeticBranch,BestAt3_ArithmeticBranch,BestAt5_ArithmeticBranch,BestAt1_CallIndirection,BestAt3_CallIndirection,BestAt5_CallIndirection,BestAt1_ClassRename,BestAt3_ClassRename,BestAt5_ClassRename,BestAt1_ConstStringEncryption,BestAt3_ConstStringEncryption,BestAt5_ConstStringEncryption,BestAt1_FieldRename,BestAt3_FieldRename,BestAt5_FieldRename,BestAt1_Goto,BestAt3_Goto,BestAt5_Goto,BestAt1_MethodOverload,BestAt3_MethodOverload,BestAt5_MethodOverload,BestAt1_MethodRename,BestAt3_MethodRename,BestAt5_MethodRename,BestAt1_Reflection,BestAt3_Reflection,BestAt5_Reflection
deepseek-r1_32b,ObfuscationClassificationV1,90,52,69,78,0.58,0.77,0.87,0.55,0.91,1.0,0.0,0.0,0.2,1.0,1.0,1.0,0.9,1.0,1.0,0.5,0.8,1.0,1.0,1.0,1.0,0.4,0.7,1.0,0.6,1.0,1.0,0.22,0.44,0.56
gemma3_27b,ObfuscationClassificationV1,90,42,67,81,0.47,0.74,0.9,0.36,1.0,1.0,0.0,0.1,0.5,1.0,1.0,1.0,0.9,1.0,1.0,0.2,0.9,1.0,0.7,1.0,1.0,0.1,0.5,1.0,0.9,1.0,1.0,0.0,0.11,0.56
gpt-4o-mini,ObfuscationClassificationV1,90,64,83,87,0.71,0.92,0.97,0.82,1.0,1.0,0.1,0.8,1.0,1.0,1.0,1.0,0.9,1.0,1.0,0.8,0.9,1.0,1.0,1.0,1.0,0.7,1.0,1.0,0.8,1.0,1.0,0.22,0.56,0.67
gpt-5-mini,ObfuscationClassificationV1,90,76,85,87,0.84,0.94,0.97,0.91,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,0.8,1.0,1.0,0.33,0.44,0.67
gpt-oss_20b,ObfuscationClassificationV1,90,66,85,86,0.73,0.94,0.96,0.91,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,0.7,1.0,1.0,0.8,1.0,1.0,0.33,0.44,0.56
qwen3_30b,ObfuscationClassificationV1,90,64,76,85,0.71,0.84,0.94,0.91,1.0,1.0,0.0,0.2,1.0,1.0,1.0,1.0,0.9,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,0.7,1.0,1.0,0.8,1.0,1.0,0.22,0.33,0.44
